distance_km;altitude_m;altitude_moyenne_5;d_plus;d_moins
60,3;14;18,6;0;7
60,4;25;20,4;11;0
60,5;21;19,6;0;4
60,6;21;21;0;0
60,7;17;17,4;0;4
60,8;21;16,6;4;0
60,9;7;15;0;14
61;17;15,8;10;0
61,1;13;16,6;0;4
61,2;21;20,4;8;0
61,3;25;20,6;4;0
61,4;26;21;1;0
61,5;18;22;0;8
61,6;15;22;0;3
61,7;26;19,2;11;0
61,8;25;18,2;0;1
61,9;12;18,8;0;13
62;13;17;1;0
62,1;18;13,8;5;0
62,2;17;13,8;0;1
62,3;9;12;0;8
62,4;12;10,6;3;0
62,5;4;8,8;0;8
62,6;11;9;7;0
62,7;8;9,4;0;3
62,8;10;10,6;2;0
62,9;14;10,2;4;0
63;10;9,4;0;4
63,1;9;10,6;0;1
63,2;4;9,6;0;5
63,3;16;9,2;12;0
63,4;9;9,4;0;7
63,5;8;11,2;0;1
63,6;10;9,6;2;0
63,7;13;8,6;3;0
63,8;8;8;0;5
63,9;4;8,4;0;4
64;5;7;1;0
64,1;12;8,2;7;0
64,2;6;12,2;0;6
64,3;14;17,2;8;0
64,4;24;20,2;10;0
64,5;30;24;6;0
64,6;27;25,8;0;3
64,7;25;26;0;2
64,8;23;24;0;2
64,9;25;21,2;2;0
65;20;19,2;0;5
65,1;13;17;0;7
65,2;15;16,8;2;0
65,3;12;18;0;3
65,4;24;22,2;12;0
65,5;26;24,6;2;0
65,6;34;28,2;8;0
65,7;27;28,8;0;7
65,8;30;26,2;3;0
65,9;27;21,4;0;3
66;13;20,6;0;14
66,1;10;19,6;0;3
66,2;23;19,6;13;0
66,3;25;20,6;2;0
66,4;27;21,6;2;0
66,5;18;18,6;0;9
66,6;15;16,8;0;3
66,7;8;16;0;7
66,8;16;15,2;8;0
66,9;23;14,2;7;0
67;14;17,8;0;9
67,1;10;21,2;0;4
67,2;26;20,4;16;0
67,3;33;21,8;7;0
67,4;19;26,6;0;14
67,5;21;27;2;0
67,6;34;24,2;13;0
67,7;28;23,4;0;6
67,8;19;22,8;0;9
67,9;15;18,6;0;4
68;18;14,8;3;0
68,1;13;14,6;0;5
68,2;9;18,6;0;4
68,3;18;20,8;9;0
68,4;35;21,8;17;0
68,5;29;22;0;6
68,6;18;21,2;0;11
68,7;10;16,2;0;8
68,8;14;14,8;4;0
68,9;10;17,8;0;4
69;22;22,4;12;0
69,1;33;25,8;11;0
69,2;33;29,4;0;0
69,3;31;28,2;0;2
69,4;28;24,2;0;3
69,5;16;21,8;0;12
69,6;13;20,8;0;3
69,7;21;19,2;8;0
69,8;26;21,6;5;0
69,9;20;24;0;6
70;28;24,2;8;0
70,1;25;23,2;0;3
70,2;22;23,6;0;3
70,3;21;21,8;0;1
70,4;22;20,2;1;0
70,5;19;17,2;0;3
70,6;17;15,4;0;2
70,7;7;13,8;0;10
70,8;12;13;5;0
70,9;14;13,8;2;0
71;15;15,6;1;0
71,1;21;16;6;0
71,2;16;15,8;0;5
71,3;14;17;0;2
71,4;13;16,4;0;1
71,5;21;17,2;8;0
71,6;18;17,6;0;3
